id,active_electric_energy,date,floor,humi,section,temp,total_active_power,total_apparent_power,total_power_factor,total_reactive_power
216722038,22305.541,2025-08-04 00:00:00.252969,1,73.7,A,30.7,2.122,2.506,0.846,-0.619
216722039,22305.544,2025-08-04 00:00:02.683409,1,73.7,A,30.7,2.113,2.503,0.844,-0.617
216722040,22305.544,2025-08-04 00:00:05.112928,1,73.7,A,30.7,2.114,2.499,0.845,-0.616
216722041,22305.544,2025-08-04 00:00:07.533082,1,73.7,A,30.7,2.114,2.5,0.845,-0.619
216722042,22305.548,2025-08-04 00:00:09.962867,1,73.7,A,30.7,2.114,2.503,0.845,-0.617
216722043,22305.549,2025-08-04 00:00:12.382934,1,73.7,A,30.7,2.117,2.505,0.846,-0.618
216722044,22305.549,2025-08-04 00:00:14.822624,1,73.7,A,30.7,2.113,2.5,0.845,-0.619
216722045,22305.551,2025-08-04 00:00:17.252602,1,73.7,A,30.7,2.115,2.501,0.845,-0.617
216722202,22305.552,2025-08-04 00:00:19.682019,1,73.7,A,30.7,2.118,2.505,0.845,-0.617
216722203,22305.552,2025-08-04 00:00:22.102084,1,73.7,A,30.7,2.115,2.5,0.845,-0.619
216722204,22305.555,2025-08-04 00:00:24.522686,1,73.7,A,30.7,2.116,2.505,0.845,-0.619
216722205,22305.555,2025-08-04 00:00:26.952327,1,73.7,A,30.7,2.112,2.499,0.845,-0.618
216722206,22305.559,2025-08-04 00:00:29.381760,1,73.7,A,30.7,2.116,2.503,0.845,-0.618
216722207,22305.561,2025-08-04 00:00:31.802259,1,73.7,A,30.7,2.116,2.498,0.846,-0.618
216722208,22305.561,2025-08-04 00:00:34.221711,1,73.7,A,30.7,2.117,2.501,0.846,-0.621
216722209,22305.563,2025-08-04 00:00:36.641892,1,73.7,A,30.7,2.117,2.499,0.847,-0.619
216722210,22305.565,2025-08-04 00:00:39.061964,1,73.7,A,30.7,2.121,2.501,0.846,-0.619
216722368,22305.565,2025-08-04 00:00:41.492345,1,73.7,A,30.7,2.114,2.499,0.846,-0.618
